"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6","SC78_5_factor7","SC78_5_factor8","SC78_5_factor9"
"39","Ier3","Rps9","Hdc","Fth1","Eef1a1","Chst11","Rac2","Lcp1","Suco"
"40","Dusp16","Tpt1","Phf21a","Isg20","Rpl21","Igf1r","Pfn1","Eif1","H3f3a"
"41","Actb","Rnf149","Lyn","H2-T23","Rpl28","Nedd9","Coro1a","Btg1","Tpt1"
"42","Il1rn","Tpm4","Dock2","Trafd1","Rps15","Rabgef1","Rplp0","Tspo","Mxd1"
"43","Ptprj","Fxyd5","Ccnd3","Slfn2","Uba52","Litaf","Rps24","Trem1","Rnf149"
"44","Pik3ap1","Tpd52","Fgr","Ddx58","Rps24","Slc16a3","H3f3a","Lrg1","Chst11"
"45","Actg1","Plaur","Txnip","Samd9l","Serf2","Osbpl9","mt-Co2","Ubb","Braf"
"46","Hdc","Irg1","Akap13","Ftl1","Lst1","Lyst","Myl6","Alox5ap","Ptprc"
"47","Mcl1","Samsn1","Rps9","Tmsb4x","Rps28","Dock2","Tspo","Picalm","Fau"
"48","Ncf1","Ndel1","Kpna4","Rnf213","Rps15a","mt-Nd5","Shfm1","Btg2","Entpd1"
"49","Ftl1","Msrb1","Arg2","Ascc3","mt-Co1","Plek","mt-Co3","Rnf149","Etf1"
"50","Ehd1","Lmnb1","Tyrobp","Cebpb","Rpl24","Irg1","Plaur","Taldo1","Inpp5d"
"51","S100a8","Arpc3","Lrg1","H3f3b","mt-Co2","Mctp1","Stfa2","Anxa1","Csf3r"
"52","Marcks","Btbd9","Map3k5","Mxd1","Ubb","Ptprc","Sh3bgrl3","Ccl6","Vps37b"
"53","Sema4d","Lilrb4a","Mcl1","Tor1aip1","Rps26","Baz2b","Msra","Slc16a3","Msrb1"
"54","B2m","Il1r2","Iqgap1","Hdc","Tmsb4x","Suco","Pkm","H3f3b","Ddx3x"
"55","Ifitm2","Isg15","Btg1","Ly6e","Hspa8","Hif1a","Gpx1","Stk17b","Ubc"
"56","Dennd4a","Lcp1","Btg2","Il1r2","H3f3b","Lilrb4a","Itm2b","Gapdh","Ifitm2"
"57","Traf3","Cmip","Ftl1","Nampt","Cox4i1","Lmnb1","Mcemp1","Grina","B2m"
"58","Arg2","Litaf","Ncf2","Oas2","Rabac1","Actg1","Hp","Coro1a","Tpd52"
"59","Lcp1","Plek","Mxd1","S100a9","Rpl37","Rnf149","Txn1","Cd52","Ddx5"
"60","Cd274","Csf3r","Dusp1","Ccrl2","Pfn1","Smox","Stx11","Irg1","Wnk1"
"61","Tnfaip2","Fau","Cers6","G0s2","D8Ertd738e","Cxcl2","Tyrobp","Lmnb1","Cd9"
"62","Spag9","Emilin2","Lyst","Igtp","Ftl1","Cd9","Arpc2","Gda","Sorl1"
"63","Dusp1","Ctnnb1","Celf2","Cmpk2","Pfdn5","Mxd1","Dstn","Ptprc","Zfp36l2"
"64","Clec4d","Sik3","Hp","Psmb8","mt-Cytb","Emilin2","Ftl1","Gm5483","Rabgef1"
"65","Rel","Arg2","Cmip","Zbp1","Rps9","Lyn","BC117090","Litaf","Fam134b"
"66","Nr4a1","Grina","Herc4","Pim1","Cd52","Ddx6","Rps27a","Anxa2","Csf1"
"67","H2-D1","H2-D1","Stat3","Zc3hav1","Rpl7","Actb","Anxa2","Fcer1g","Tyrobp"
"68","Ptprc","Mcl1","Arhgap15","Chmp4b","Cst3","Fth1","Prok2","Rps27a","Mbnl2"
"69","Csf3r","Ctsd","Il1rap","Fcer1g","Rpl26","Fam134b","Arpc5","H2-D1","Slc16a3"
"70","2810474O19Rik","Dusp1","Igf1r","Sdcbp","Psap","Plaur","Vasp","Pim1","H2-D1"
"71","Ifitm1","Hif1a","H3f3a","Kpna4","Rps12","Atp2b1","Lcp1","Fxyd5","March7"
"72","Wfdc17","Snx18","Litaf","Usp18","Rbm3","Dusp1","Timp2","Ddx6","Gla"
"73","Slc7a11","Plin2","Ubb","Plek","Cox8a","Arg2","Ostf1","Hdc","Tiparp"
"74","Tnfrsf1b","Txn1","H2-D1","Junb","Rps6","G0s2","mt-Cytb","Osbpl9","Pim1"
"75","Eif1","Pim1","Plek","Btg1","Tyrobp","Cers6","Asprv1","Zyx","Fgl2"
"76","Slfn2","Fcer1g","Gm42418","Eif1","Runx1","Arhgap26","Mrgpra2b","Tpt1","Sh2d3c"
"77","Msrb1","Trem1","Usp32","Neat1","Rps2","Csf3r","Gnai2","Arg2","Fnip1"
"78","H2-K1","Ptprc","Ipcef1","Tmbim6","Gm10076","Clec4d","Arpc1b","Iqgap1","Gab2"
"79","Btg1","Slc7a11","March7","Lmnb1","Rpl19","Ankrd33b","Arhgap15","Kpna4","2810474O19Rik"
"80","H3f3a","Ptprj","Steap4","Sppl2a","Rps25","Braf","Ifitm2","Ddx5","Samsn1"
"81","C5ar1","App","Ifitm2","Casp4","Arpc1b","March7","Serf2","Rac2","Trem1"
"82","Rps9","Baz2b","Adgre5","Mcl1","Rpl36","Ccnl1","Cotl1","Pfn1","Egr1"
"83","Ets2","Sp140","Camk1d","Actb","Gpx1","Ndel1","Cdc42","Dennd4a","Antxr2"
"84","Casp4","Actr3","Klf6","Tnfaip2","Map1lc3b","Il1rap","Gpi1","Lsp1","Picalm"
"85","Lmnb1","Cd53","Pla2g7","Rab7","Ifitm2","Etf1","Glrx","Jund","Ppp1r15a"
"86","Dusp2","Lilr4b","Jund","Actg1","Cox6b1","Ctnnb1","Eif1","Antxr2","Rps9"
"87","Abtb2","Sorl1","Pag1","Psmb9","Cxcr4","Lilr4b","Actr3","Entpd1","Csrnp1"
"88","Btg2","Lyn","Ppp3ca","Ifitm1","Calm1","Rab8b","Fcer1g","Emilin2","Ubb"
"89","H2-Q7","Mir142hg","Fbxl5","Fgl2","Btf3","Mcl1","Lrrk2","Prr13","Cmip"
"90","Fgr","Stx11","Cd44","Zfp36","Egr1","Notch2","Gm42418","App","Ankrd33b"
"91","Tpd52","Ddx5","Fth1","Tapbp","Hsp90aa1","Btbd9","Pgd","Arpc3","Tgoln1"
"92","Snap23","Igf1r","Actg1","Txn1","Gng5","Pag1","Cnn2","Stfa2l1","Dusp5"
"93","Samsn1","Ifitm1","Slpi","Tap1","Fcer1g","Ncf2","Hmgb2","Clec4d","Gm42418"
"94","Tyrobp","Mrpl33","Hmgb2","Ifit3b","Fth1","Pim1","H2-D1","Gadd45a","Alcam"
"95","N4bp1","Picalm","Pde4b","Prdx5","Atp6v0e","Sh2d3c","Srgn","Map1lc3b","Ccnl1"
"96","Fcer1g","Hectd1","Grina","Grina","Morf4l1","Gab2","Rps9","Ccr1","Fcer1g"
"97","Sgms2","Ddx6","Trps1","Ubb","Rplp0","Trps1","Cfl1","Gm42418","Pnrc1"
"98","Lcp2","Slfn4","Lst1","Smox","Atox1","Mbnl2","Pygl","Ifitm3","Lst1"
"99","S100a11","Gm42418","Fcer1g","H2-Q4","Zfp36l2","Junb","Sri","Smox","Tra2a"
"100","Lilrb4a","Ccr1","Rgs2","Ets2","Sh3bgrl3","Gpcpd1","Mctp1","Ndel1","Gadd45b"
"101","Sod2","Ets2","Ifitm1","Lilrb4a","Calm2","Pbx1","Myh9","Cxcr2","Emilin2"
"102","Antxr2","Adam8","Kdm7a","Sat1","Laptm5","Gcnt2","Anxa11","Sorl1","Sdcbp"
"103","Adam17","Neat1","Prkcb","Litaf","Cdk2ap2","Slfn4","Lrg1","Plek","Kdm6b"
"104","Chst11","Diaph1","Gda","Cd300lf","Gadd45b","Lcp1","Mxd1","Hcar2","Ddit3"
"105","Litaf","Vps4b","Klhl2","Lamp2","Eif1","Dusp16","Aldh2","Plaur","Rab7"
"106","Gsap","Rab7","Jmjd1c","Cd53","Ubl5","Mctp2","Pnkp","Coq10b","Mapkapk2"
"107","Ier5","Ncf2","Taldo1","Btg2","Arhgdib","Btg1","Cd9","Suco","Fem1c"
"108","H3f3b","mt-Co1","Bcl6","Tyrobp","Rpl35","Cyth1","Iqgap1","Cmip","Gm43661"
"109","Tpt1","Kpna4","Snap23","Gm42418","Malat1","Gda","Cd177","Pglyrp1","Fos"
"110","Fau","Map2k4","Txn1","Spag9","Myl6","Cd53","Fpr2","Cd9","Hcar2"
"111","Gm42418","Cyth1","Selplg","2810474O19Rik","Hnrnpf","Msra","Ncf4","Isg15","S100a11"
"112","Nfe2l2","Por","Fgl2","Msrb1","mt-Nd4","Ralgapa1","Arpc3","Atp6v1g1","Isg15"
"113","Lpcat2","Jdp2","Susd6","Clec2d","Eif5a","Actr3","Fam65b","Gcnt2","Skap2"
"114","Hcar2","Sdcbp","B2m","Usp25","Txn1","Ets2","Psap","Lst1","Osbpl9"
"115","Ddx5","Gabarap","Tmem164","Dclre1c","Eef2","Nfkbiz","Cap1","Selplg","Per1"
"116","Actr3","Slc15a3","Itgal","Ifi47","Itm2b","Elmo1","Gmfg","Slc7a11","S100a8"
"117","Bcl2l11","Arpc2","Slc40a1","Lyn","Atp6v1f","Skap2","Adpgk","Csrnp1","Mir142hg"
"118","Pnrc1","Pfn1","Mir142hg","Ptgs2","Brk1","Arih1","Cd24a","Ets2","Rbm39"
"119","Ppp1r15a","Tlr4","Pbx1","9930111J21Rik2","Oaz1","Celf2","Taldo1","Xylt1","Tbc1d15"
"120","Hspa5","Ralgapa1","Myo1f","Ifitm2","Plac8","Fnip1","Flna","Marcks","Fxyd5"
"121","Rap1b","Taldo1","Cd84","Xylt1","AF251705","Grina","Myl12b","Lilrb4a","Ctnnb1"
"122","Ninj1","Vmp1","Fau","Epsti1","Fam32a","Nup98","Rps11","Cdc42","Ndel1"
"123","Icam1","Selk","Alox5ap","Sik3","Rpl27","Hcar2","Lbr","Gpcpd1","Cd53"
"124","Rab11fip1","Pde7b","Gm26825","Hcar2","Cfl1","Sp140","Eef1a1","Snap23","Plk3"
"125","Vasp","Sp100","Elmo1","Cers6","Actb","Anxa11","Fpr1","Gmfg","Coq10b"
"126","Cd44","Iqgap1","Syk","Csrnp1","Gabarap","Cd14","Vsir","Sell","Anxa11"
"127","Lst1","Lyst","Coro1a","Csf3r","Dynll1","Ccr1","Msrb1","Zfp36l2","Btbd9"
"128","Fbxo11","Arpc5","Ddx5","Lst1","Coro1a","Rab7","Lims1","Sat1","Ankrd12"
"129","Ankrd33b","Cd52","Cd300lf","Dtx3l","Cyba","Iqgap1","Mrpl33","mt-Co1","Tnfaip2"
"130","Rabgef1","Wfdc21","Gm5150","Cd52","Fxyd5","Lamp2","Gda","Mrpl33","Stk17b"
"131","Mapk6","Alox5ap","Ankrd44","Clec4d","Rpl6","Hectd1","Tmcc1","Tgfbi","Lrg1"
"132","Cd9","Cd300lf","Chst11","Trem1","Eef1b2","Usp32","Rps29","Ncf2","Clec4d"
"133","Fndc3b","Lamp2","Itga4","Stat2","Ctsz","Arih2","Ubb","Pkm","Lilrb4a"
"134","Txn1","Csf2rb","Cytip","Parp10","Vamp8","Sdcbp","Rhoa","Lyst","Jund"
"135","Picalm","Junb","Sfxn5","Picalm","Clic1","Ell2","Calm1","Rpl37","Ncf2"
"136","Neat1","Coro1a","Lsp1","Gadd45b","Arf1","Osm","Oaz1","Sh2d3c","Fosl2"
"137","Trem1","Fosl2","Atrnl1","Dusp1","1810058I24Rik","Wfdc17","Gng5","Cyba","Dclre1c"
"138","Dock2","Pik3ap1","Whsc1l1","H3f3a","Chchd2","Ptgs2","Actr2","Gabarap","1700112E06Rik"
"139","Relb","Gab2","Slfn2","Tmem140","B2m","Adam8","Aldoa","Ier5","Irg1"
"140","Igsf6","Glrx","Ltb","Irgm2","Tceb2","Vps4b","Tpt1","Gnai2","Dhx40"
"141","Lrg1","Trib1","Tspan13","Ccr1","H2-D1","Map2k4","Mbd2","Lyn","Ctsd"
"142","Ccl3","Cyp4f18","Lmnb1","Rnf114","Sub1","Vav3","Vim","Prdx5","Ptafr"
"143","Rbpj","Ier3","Fxyd5","Ier3","Cebpb","Cyp4f18","Padi4","Glrx","Arih1"
"144","Fas","Hp","Prr5l","Gsap","Atp2b1","Arhgap24","Glipr2","Mctp1","Cdk2ap2"
"145","Ctsz","Rbms1","Pip4k2a","Whsc1l1","Prdx5","Por","Eno1","B2m","Gcnt2"
"146","Txnrd1","Clec4e","Il1r2","Cxcl2","Actg1","Zeb2","App","Nfkbiz","Lamp2"
"147","Il1r2","Il1rap","Zfand5","Samsn1","Gm2a","4932438A13Rik","Gpsm3","Samsn1","Ctsb"
"148","Pfn1","2810474O19Rik","Tgfbi","Klf6","Bri3","Nrd1","Chil1","Adam8","Atp6v0d1"
"149","Entpd1","Sh2d3c","Ptbp3","Irf2","Sec61b","Fem1c","Osm","Atg3","Igf1r"
"150","Hck","Gm26740","Tbc1d14","Tra2a","H2-K1","Npepps","Fau","Ctsd","Clk1"
"151","Iqgap1","Ankrd33b","Rbm47","Oasl2","Cdc42","Stk17b","Slfn4","Fam65b","Ifitm1"
"152","Irak3","Fam107b","Anxa2","Basp1","Pnrc1","Stx11","Fbxl5","Myl6","Ccr1"
"153","Zc3h12a","Cap1","Arih1","Tlr4","Gnb1","Zcchc6","Itgb2","Cd44","Hectd1"
"154","Jund","Osbpl9","Ptpn12","Fxyd5","Scand1","Tiparp","Gm8730","Fbxl5","Sntb2"
"155","Zfand3","Rab20","Mctp2","Gabarap","Hspa5","Pde7b","Grina","Ube2h","H2-K1"
"156","Nadk","Tspo","Samhd1","Tpt1","Il1b","Ddx5","Lsp1","Sgms2","Serinc3"
"157","Gpbp1","Cdk17","Ncor1","Tspo","Psenen","Btg2","Nedd9","Ankrd33b","Rps27"
"158","mt-Atp6","Fem1c","Apbb1ip","Csf1","Asprv1","H3f3a","Clic1","Cytip","Ier5"
"159","Susd6","Notch2","Ndel1","Oas1a","Rpl23a","Atrnl1","Itgam","Rps16","Snap23"
"160","Sorl1","Pnrc1","Il13ra1","Cd44","Npc2","Cd84","Spi1","Svil","Grina"
"161","Ddx3x","Sepn1","Osbpl9","mt-Co3","Rpl13","Tnrc6b","mt-Nd4","Gm5150","Eif5"
"162","Smox","Gda","Hsp90aa1","Marcks","Timm10b","Fbxl5","Syne1","Pla2g7","Nup98"
"163","Ncf4","Myl6","Gm26740","Ptprc","Cotl1","Mapkapk2","Ptprc","Rabgef1","Ddx6"
"164","Lyn","Mcemp1","March1","Tpd52","Camk1d","Fam65b","Ccnd3","Lilr4b","Fus"
"165","Irf1","Gcnt2","Rbm39","Fcgr4","Cd47","Basp1","Hspa8","Actr3","Fndc3b"
"166","Snx20","Map1lc3b","Sell","Gbp5","Ost4","Abtb2","Cers6","Spi1","Atg2a"
"167","Gpr132","B2m","Abtb2","Gab2","Rhoa","Klhl2","Lyn","Fam49b","Sgms2"
"168","Ccnl1","Ptbp3","Rassf3","Ctsb","Lamp1","Inpp5d","Dhrs7","Stx11","Ptk2b"
"169","Baz1a","Cdc42","Notch2","Pfn1","Dusp1","Fndc3b","Rap1b","Mmp9","Mirt1"
"170","Snx18","Kctd12","Zyx","Fau","Ppia","Tnfrsf1b","Atp8b4","Hif1a","Rsrc2"
"171","Adgre5","Lsp1","Tnrc6b","Ctss","Mdh2","Gk","Hipk1","March7","Lcp1"
"172","Cd52","Rtp4","Adipor1","Arg2","Hnrnpc","Rlf","1110008F13Rik","Itm2b","Slc7a11"
"173","Nfkbid","Rps27a","Ttc7","Helz2","Igfbp6","Snap23","Hpcal1","Cyp4f18","Il1rap"
"174","Grina","Il1rn","Cdc42","Msn","Msrb1","Atp6v0d1","Slc2a3","Lamp2","Lyn"
"175","Arhgap26","Klra2","Rap1b","Rnf149","Clta","Rsrc2","Ube2d3","Mcemp1","Celf2"
"176","Bcl3","March7","Plcl2","Trim12c","Supt4a","Ipcef1","Dach1","Arpc5","Arg2"
"177","Bcl2a1b","Pla2g7","Trim30b","Cd14","Rbx1","mt-Nd4l","Ncf1","Cers6","Polr2a"
"178","Il1f9","Gapdh","Gm20388","Tspan13","Sh3glb1","Pde4b","Cox4i1","Sdcbp","Ptprj"
"179","Nfkbie","Pag1","Entpd1","Atp2b1","Slc25a5","Bcl2l1","Hck","Rps27","Marcks"
"180","Hp","C5ar1","Pglyrp1","Tnfrsf1a","Tra2a","Cdk17","Adam8","Arhgap15","Srsf5"
"181","Arih2","Rac2","S100a6","Tnrc6b","Gm10073","Vps37b","Rpl7","BC100530","Txn1"
"182","Cdc42","Slc11a1","Med13l","Ccnl1","Msn","Akap13","Tln1","Arpc1b","Gabarap"
"183","Ddx6","Nudt4","Xpo6","S100a11","Uqcrh","Agpat9","Rpl9","Pag1","Trib1"
"184","Rac2","Ppp1r3b","Zfp36l2","Clic4","Cd300a","Tra2a","Il1f9","Skap2","Il15"
"185","Oser1","Sell","Atg3","Ier5","Mir142hg","Top1","Cd14","Neat1","Calm2"
"186","Cmip","Arhgap15","Spi1","Itm2b","Eif4a1","Tmsb4x","Ngp","Cd300lf","Sat1"
"187","Cyba","Hpcal1","Sat1","Fam134b","Atp5e","Diaph1","Elmo1","Ccnl1","Rap1b"
"188","Snx10","Myo1d","Mmp9","Tnfrsf1b","Atp5l","Jdp2","Lilrb4a","Arhgap24","Irak2"
"189","Slc15a3","Rabgef1","Rab8b","Inpp5d","Rpl14","Tgoln1","Atp6v1g1","Rap1b","Lyst"
"190","Fbxl5","Jund","Nfkbiz","Mbnl2","Tnfaip2","Ppp1r3b","Atp11b","Aldoa","Ptp4a1"
"191","Asprv1","Chmp4b","Jak1","Ptafr","Dazap2","Camk1d","Cebpb","Stat3","Sgpl1"
"192","Tlr2","Basp1","Nipbl","Ctsd","Fam49b","Smchd1","Pbx1","Cdkn2d","Smox"
"193","Nab1","Arpc1b","Eif1","Pnrc1","Shfm1","Svil","Esd","Fcgr3","Jdp2"
"194","Chd2","Zeb2","Gab2","Zeb2","Tra2b","Fbxo11","Rdh12","Samhd1","Klf6"
"195","Trem3","Kdm6b","Xpr1","Ptk2b","Cnbp","Rbm39","Uba52","Lcn2","Stat3"
"196","Gpcpd1","Prdx5","Msn","Irak2","Gpx4","Serinc3","Cmah","Por","Iqgap1"
"197","Gabarap","Cfl1","Actr3","Xaf1","Srp14","Dopey2","Hk3","Cd14","Impact"
"198","Ell2","Ube2d3","Parp8","Emilin2","Eif5","Map3k5","Prkcb","Mtus1","Rps29"
"199","Lsp1","Zyx","Pip5k1b","Ddx5","Wnk1","Chd7","Rps3a1","Slfn4","Ago2"
"200","Tgif1","Sntb2","Ier2","Irf9","Ncf4","Eif1","Gnb2","Pnrc1","Baz2b"
"201","Kpna4","Braf","Cd33","Fcgr3","Cstb","S100a6","Rap1gap2","Adipor1","G0s2"
"202","Fam65b","Anxa2","Emb","Pkm","Card19","Trem1","Hacd4","Arhgdib","Rsrp1"
"203","Mrgpra2b","Samhd1","Anxa1","Themis2","Junb","Phf21a","Capza1","Fosl2","Kras"
"204","Cdc42ep2","Ell2","Cap1","Cd9","Gnas","Dgat1","Lyst","Il1rap","Gpcpd1"
"205","Chil1","Agpat9","Gnai2","Fnip1","Tctex1d2","H2-D1","Pilra","Myl12b","Nudt4"
"206","Rps27","Trem3","Rapgef6","Cdk2ap2","Rab11a","Cd300lf","Azin1","Dazap2","Arpc3"
"207","Batf","Gmfg","Fcgr3","Fbxl5","Ywhae","Ptk2b","Rab8b","Cd53","Map1lc3b"
"208","Neurl3","Myh9","Mtus1","Atf3","H3f3a","Plk3","Mcl1","Arpc2","Arih2"
"209","Cfl1","Fbxo11","Tbc1d15","Il1rn","Ndufa7","Samhd1","H3f3b","Etf1","Arhgap26"
"210","Igf1r","Atp6v1g1","Ptpre","Prkce","Ankrd12","Zfp36","Pabpc1","Cfl1","Hspa5"
"211","Tax1bp1","Ptafr","Fyb","Zcchc2","H2afz","Fxyd5","Tpm3-rs7","Egr1","Syk"
"212","Gmfg","Zcchc6","Sbno2","Trim30b","Jund","Zswim6","Litaf","Ube2d3","Cd84"
"213","Coro1a","Dgat1","Tspo","Chst11","Mbnl2","Homer1","Sat1","Nup98","Msn"
"214","Ctnnb1","Fam134b","Mrpl33","Fos","Taldo1","Clec4e","Rps12","Klf2","Elmsan1"
"215","Cd300a","Ehd1","Rnf144a","Arid5b","Hnrnpa0","Ptbp3","Rpl37a","Clec4e","Dnm2"
"216","Steap4","Marcks","Rock1","Trps1","Ifitm3","Tmcc1","Ncf2","Nedd9","Pum2"
"217","Skap2","Cltc","Arpc2","Ifrd1","Il1r2","Ptp4a1","Stk17b","Clic1","Dock2"
"218","Syk","Btg2","Tsc22d3","Lilr4b","Ppp2ca","Atg2a","Ddx5","Phf21a","Cyth1"
"219","Emilin2","Myl12b","Numb","mt-Co2","Ier2","Ptafr","Stfa3","Steap4","Atp6v1a"
"220","Msn","Sat1","Zfp608","Peli1","Rbm25","Gtdc1","Plp2","Rab8b","Usp32"
"221","Cst3","Dusp5","Ptpn1","Ankrd33b","Cd63","Stat3","Rps3","Cd33","Gm5150"
"222","Rps29","Smchd1","Cask","mt-Co1","Ybx1","Qsox1","Atrn","Chst11","Pdlim5"
"223","Ifnar2","Bcl2l1","Lilrb4a","Slc15a3","Klf2","Dmxl2","Wdr1","Cap1","Pfn1"
"224","Rab7","Eif4a1","Il17ra","Nfkbia","H2afj","Pafah1b1","Ldha","Mrgpra2b","Hmgb2"
"225","Alox5ap","Snap23","Cd244","Vasp","Gm42418","Rap1b","Slc16a3","Pygl","Mef2d"
"226","Fxyd5","Ccl6","Lpcat2","Tgoln1","Btg1","Fos","Junb","Cd84","Ier3"
"227","Rps16","Ubb","Rlf","Cxcr4","Zcchc7","Fosl2","Stim2","Rps29","Tnfrsf1b"
"228","Coq10b","Fmnl1","Arid4a","Pik3ap1","Cox7a2","Ctsd","Pten","Tspan13","Smchd1"
"229","Slc2a6","Etf1","Baz2b","Tdrd7","Rheb","Clk1","Limd2","Ptgs2","Ube2b"
"230","Orai2","Mirt1","Atxn1","S100a8","Tsc22d3","Kdm6b","4932438A13Rik","Amica1","Kctd12"
"231","mt-Co3","Gm5483","Fam129a","Il1rap","Ddx5","Slc15a3","Hdc","Notch2","Adgre5"
"232","Zc3hav1","Atp2b1","Ppp1r12a","Psme1","Erp29","Sp100","Bst1","Themis2","Ranbp2"
"233","Tnf","Rps27","Map1lc3b","Shisa5","Rsrp1","Tbc1d15","Ier2","Pik3ap1","Zcchc6"
"234","Csrnp1","Ifitm3","Sdcbp","Socs3","Man2b1","Kdm7a","Ywhaz","Clk1","Jak1"
"235","Il10ra","Hmgb2","Vim","Etf1","Chmp2a","Trib1","Vav3","Serf2","Cst3"
"236","Stfa2l1","Mctp1","Cebpb","Ankfy1","Slc3a2","Mirt1","Max","Akap13","Nfe2l2"
"237","Hmgb2","Stfa2l1","Sirpb1a","Osbpl9","Rpl22","Slc11a1","Clec4a2","C5ar1","Nr4a1"
"238","Taldo1","Dusp16","Rps27a","Ncf4","Ankhd1","Msrb1","G6pdx","Kdm7a","Lsp1"
"239","Lyst","Arih2","Pfn1","Slfn3","Ctsb","Adam17","Rps7","Ptprj","Tax1bp1"
"240","Nr4a3","Itm2b","Atp6v1g1","Psme2","Hist1h2bc","Ddx3x","Sh3glb1","Ddx3x","Zfand5"
"241","Atp2b1","Pkm","Diaph1","Stat3","Gngt2","Csrnp1","Ptpn1","Il1f9","Sbno1"
