"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7","SC78_9_factor8"
"41","Actg1","Jund","Tyrobp","Hdc","mt-Co2","Junb","Picalm","Bnip3"
"42","Nlrp3","Fau","Rpl30","Lcp1","Pfn1","Anxa1","S100a11","Jun"
"43","Ftl1","Ddx3x","Rps11","Fgr","Mmp9","Ccl6","Cd44","Pnrc1"
"44","S100a8","Zfand5","Rpl34","Adgre5","Tspo","Grina","Samsn1","Tmsb4x"
"45","Nfkb1","Hspa5","Rabac1","Ipcef1","Lrg1","H2-D1","Ctnnb1","Prdx5"
"46","Ifitm1","Tpt1","Rpl37a","Ube2h","Tkt","Mcl1","Nedd9","Irak2"
"47","B2m","Stk17b","Msrb1","Cd300lf","Cyba","Mmp8","Cyth1","P4hb"
"48","Ifitm2","Mir142hg","Rbm3","mt-Co2","Hp","Fcer1g","Litaf","Ifrd1"
"49","Tnfaip2","Hdc","H2-D1","Actb","Rac2","Cxcl2","Hilpda","Slc2a1"
"50","Samsn1","Ddx5","Rps5","Apbb1ip","Tpt1","Map1lc3b","Emilin2","Cstb"
"51","Ets2","Mxd1","Cyba","Mtus1","Coro1a","Txn1","Plin2","Ubc"
"52","Slfn2","Stat3","Atp6v0e","Fam65b","Sh3bgrl3","Pglyrp1","Ifitm2","Ccnl1"
"53","Irf1","Ndel1","Gng5","Usp32","Myl6","Coro1a","Klhl2","Fam162a"
"54","Ptgs2","Eif1","Rpl37","Gcnt2","Rps24","Pfn1","Snx18","Zfp292"
"55","Il1r2","Msrb1","Rpl8","Ppp3ca","Rps9","Prdx5","Tpd52","Kpna4"
"56","Dennd4a","Suco","Cox8a","Iqgap1","Adpgk","Rac2","Neat1","Neat1"
"57","H2-Q7","Csf3r","Rplp1","Stk17b","Stfa2l1","Stfa3","Osbpl9","Litaf"
"58","Spag9","Ifitm2","Rpl18","Kdm7a","Ftl1","Lrg1","H3f3b","Fam134b"
"59","Btg2","Pim1","Actb","Cpd","Wfdc17","Hmgb2","Jdp2","Rab7"
"60","Casp4","Lmnb1","Ifitm2","Skap2","Tyrobp","Lsp1","H3f3a","Junb"
"61","H3f3b","Gls","Itm2b","Sgms1","Anxa2","Taldo1","Ets2","Igf1r"
"62","Snap23","Socs3","Cd52","Fam49b","Arpc1b","Cyba","App","Npepps"
"63","2810474O19Rik","Cited2","Fxyd5","Atrnl1","Mgst1","Arpc3","Ddx5","Lyst"
"64","Rab8b","Etf1","H2afj","Prkcb","Vasp","H3f3b","Il1rap","Cd9"
"65","Eif1","Tra2a","Cox4i1","Pip4k2a","Rpsa","Rpl37","Tpt1","Arid5b"
"66","Tpt1","Gpcpd1","Rps8","Elmo1","Dstn","Fxyd5","Arg2","Pfkp"
"67","Rps9","Plek","Rpl21","mt-Co3","Prr13","Csf3r","Sorl1","H2-D1"
"68","Fau","Zfp36l2","Eef1a1","mt-Atp6","Txn1","Eif1","Stx11","Phf21a"
"69","Btg1","Ptprc","Pfdn5","Celf2","Gpx1","Lcp1","Mcl1","P4ha1"
"70","C5ar1","Calm2","Rpl10","Tpd52","Shfm1","Rps29","Igf1r","Gadd45b"
"71","H2-K1","Lrg1","Hnrnpf","Trps1","Rps27a","Btg1","Tyrobp","Osbpl9"
"72","Antxr2","H2-D1","Rpl13a","Cd84","Gpi1","Pkm","Lyn","Ctsb"
"73","Hcar2","Tsc22d3","Eif1","Ankrd44","Taldo1","Anxa2","Tpm4","Gm42418"
"74","Clec4d","Arg2","Actg1","Whsc1l1","Arpc2","Atp6v1g1","Rnf149","Spag9"
"75","Sema4d","Tpd52","Rps28","Jmjd1c","Itm2b","Zyx","Rps9","Clec4d"
"76","Ptprj","Adgre5","Btg1","Mxd1","Pkm","G0s2","Hif1a","Elmo1"
"77","Wfdc17","Hp","Rpl11","Klhl2","Sri","Mcemp1","S100a6","Emilin2"
"78","Marcks","Sat1","Rpl24","Cd44","AA467197","Arpc1b","Ncf2","H2-K1"
"79","H3f3a","Iqgap1","Hist1h2bc","Pip5k1b","Calm1","Tpd52","mt-Co2","Tpd52"
"80","Trem1","mt-Co1","Rps7","Junb","Hmgb2","Cd14","Wfdc21","Ppp1r3b"
"81","Pnrc1","Cmip","Rpl13","Baz2b","Ostf1","Clic1","Bcl2l1","Hectd1"
"82","Ncf1","Mbnl2","Rps24","Il18rap","Gnai2","Asprv1","Ccnl1","Ptgs2"
"83","Lmnb1","Ier2","H3f3a","Map3k5","Cotl1","mt-Co2","Arpc3","Ap3s1"
"84","Irak2","S100a11","Srgn","Camk1d","H2-D1","Jund","Dusp16","Xylt1"
"85","Litaf","Ddit3","S100a9","Stat3","Fcer1g","Il1r2","Ftl1","Rlf"
"86","N4bp1","Tyrobp","Arpc1b","Tsc22d3","Arpc5","Glrx","Fosl2","H3f3a"
"87","Lcp2","Fxyd5","Plin2","Ddx6","Actr3","Rps16","Fxyd5","Rps27"
"88","Lpcat2","Nfkbiz","AF251705","Rbm47","Vim","Cxcr2","Grina","Cd300lf"
"89","Sod2","Ube2h","Rpl35a","Cxcr2","Ubb","Gnai2","Lilrb4a","Gm5483"
"90","Igsf6","Rsrp1","Txn1","Rassf3","Rps29","Itm2b","mt-Co3","Hmox1"
"91","Csf3r","Rbm39","Junb","Atxn1","Msrb1","Zfp36","mt-Atp6","Samsn1"
"92","Adam17","Rps27","Sh3bgrl3","Bcl6","Eef1a1","Gmfg","Ptprc","Grina"
"93","Neat1","Gab2","Rps25","Grina","Gm8730","Socs3","Rdh12","mt-Co3"
"94","Erbb2ip","Gadd45g","Gm2a","Mctp2","Atxn10","Arpc2","BC100530","Btg1"
"95","Gm42418","Ccnl1","Dusp1","Xylt1","Serf2","Rpl9","Map2k4","G0s2"
"96","Ppp1r15a","Srsf7","Hist1h1c","Numb","Ncf4","Fos","Diaph1","Tmem189"
"97","Lilrb4a","Fcer1g","Oaz1","Samhd1","R3hdm4","mt-Atp6","Pfn1","Hif1a"
"98","Rel","Coq10b","Btf3","Syk","Gmfg","Atxn10","Lamp2","Actb"
"99","Gsap","Clk1","Atp5l","Tbc1d14","Cd9","Gpx1","Kpna4","Lilrb4a"
"100","Tnfrsf1b","Rps29","Rpl6","Ifitm1","Pygl","Fcgr3","Iqgap1","Pik3ap1"
"101","Ddx5","Hspa1b","Cebpb","Ncf2","Glrx","Eif4ebp1","Ptprj","Cd53"
"102","Fcer1g","Serinc3","Igfbp6","Mcl1","Fau","Rps24","Baz2b","Actg1"
"103","Abtb2","Map1lc3b","Ubl5","Arhgap24","Slfn4","mt-Co3","Notch2","mt-Co1"
"104","Bcl2l11","Rap1b","Chchd2","March1","Cdc42","Ncf4","Ccr1","Fmnl2"
"105","Tyrobp","Hmgb2","Lsp1","Il1r2","Rplp0","Aldoa","Lcp1","Hsp90aa1"
"106","Lcp1","Gadd45a","Rhoa","Nedd9","Arpc3","Gda","Cd53","Rsrp1"
"107","Rap1b","Plin2","Pfn1","Zfp36","Anxa11","Selplg","Rabgef1","Fnip2"
"108","Fbxl5","Ddx6","Cox6b1","Rlf","Eif1","Cdc42","Arhgap15","1700112E06Rik"
"109","Sgms2","Hspa1a","Rps15","Rnf149","Msra","Rps27","Etf1","Fcer1g"
"110","Oser1","Egr1","Ccnd3","Adam19","Ncf1","Rps10","Pde7b","Rps29"
"111","Picalm","Gcnt2","Cfl1","Tmem164","Rps4x","Eno1","Actr3","Msra"
"112","Ptprc","Rnf149","Gabarap","Fyb","Lcp1","Eef1a1","Zcchc6","Atp6v1a"
"113","Tpd52","Ccnd3","Rps15a","Vav3","Cfl1","Trem1","Stk17b","Etf1"
"114","Ier5","March7","Hmgb2","Pygl","Cebpb","Mmp9","Adam8","Gabarap"
"115","Nfe2l2","Lyn","Ifitm1","Pten","Srgn","Hdc","Ddx6","Smox"
"116","S100a11","Snap23","Atox1","App","Rps20","Ostf1","Junb","Ostf1"
"117","Msrb1","Polg2","Zfp36l2","Btg1","Itgam","Cfl1","Gm42418","Wwp2"
"118","Ehd1","Dusp16","Sub1","S100a11","Cd24a","Gabarap","Suco","Ctsd"
"119","Rps27","B2m","Rpl32","Mir142hg","Rps12","Pim1","Stfa2l1","Fxyd5"
"120","Ninj1","Arih1","mt-Co3","Cd33","Mettl9","Gpi1","Fau","Atp2b1"
"121","Chil1","Arhgap26","Brk1","Pla2g7","Pgd","Hcst","Lilr4b","Fcgr3"
"122","Asprv1","Ets2","Cirbp","Myo1f","Actn1","Rpl41","Fam134b","Ccl3"
"123","Jund","Rhob","Clic1","Med13l","Cnn2","Mrpl33","H2-D1","Rbpj"
"124","Hp","Lamp2","Cdk2ap2","Klf6","Oaz1","Sat1","Csf3r","Chd7"
"125","Rab11fip1","Lilrb4a","Arpc3","S100a6","Ceacam10","Serf2","Rbms1","Egln3"
"126","Nr4a1","Txnip","Rps12","Cask","Cap1","Ddx5","Btbd9","Soat1"
"127","Adgre5","Ncf2","Coro1a","Kpna4","Plaur","Myl12b","Hectd1","Map1lc3b"
"128","mt-Co1","Akap13","Myl12b","Pam","Mcemp1","Mxd1","Plek","Bsg"
"129","Traf3","Alox5ap","Vamp8","Lilrb4a","Rpl37a","Arg2","Eif4a1","Plek"
"130","Rps29","Fus","Prdx5","Fgd4","Rps10","Tgfbi","Rsrp1","Ddx5"
"131","Ankrd33b","Il1rap","Rps2","Rfwd2","Rpl7","Osm","Ppp1r3b","Il1b"
"132","Iqgap1","Xylt1","1700112E06Rik","Zfand3","Mrgpra2b","Picalm","Rap1b","App"
"133","Ccnl1","Srsf5","Ssu72","Wfdc21","Myl12b","Btg2","Fem1c","Atf3"
"134","Fgr","Sorl1","Gmfg","Ccl6","Mapk13","Arhgdib","Ctsd","Cd274"
"135","Ddx6","Ifrd1","Cd300a","Rps9","Rps16","Myl6","Rbm39","Tbc1d15"
"136","Pfn1","Rnf19b","Rps20","Jund","H3f3b","Ctsd","Por","Pfkl"
"137","Rbm39","Nup98","Arpc2","Hp","Pnkp","Gng5","Fam107b","Sik3"
"138","Neurl3","Stfa2l1","Fgl2","Diaph1","Clic1","Pla2g7","Irg1","mt-Atp6"
"139","Ubb","Cd84","Gm5150","Slpi","Flna","Lmnb1","Gm5483","Dusp1"
"140","Cdc42ep2","Pnrc1","Slfn2","Map3k3","Mrpl33","Stk17b","Arpc2","Ankrd33b"
"141","Csrnp1","Pbx1","Ncf4","Tnrc6b","Arhgap15","Ldha","Sdcbp","Rabgef1"
"142","Fas","Slc38a2","mt-Atp6","Lamp2","Mcl1","Iqgap1","Rab20","Pim1"
"143","H2-T23","Pag1","Rpl7","Msrb1","G0s2","Chil1","Slc7a11","Lamp2"
"144","Susd6","Vim","Atp6v1f","Litaf","Iqgap1","Vim","Coro1a","Rsrc2"
"145","Slc7a11","Skap2","Pnpla2","Atp11b","Rpl23","Spi1","Asprv1","Ankrd12"
"146","Fxyd5","Bcl6","Gm10076","Il1rap","Grina","Litaf","Lyst","Mxd1"
"147","Irak3","Rsrc2","Tmem59","Osbpl9","Cd14","Shfm1","Pik3ap1","Higd1a"
"148","Cd52","Chst11","H2-K1","Msn","Pirb","Cyp4f18","Tiparp","Gla"
"149","Il1rn","Rgs2","Rps4x","Mirt1","Cmah","Fbxl5","Fcer1g","Eif5"
"150","Orai2","Arf4","Rac2","Dhrs9","Gng5","Rps12","Selk","B2m"
"151","Nadk","Cd44","S100a11","Asxl1","Ctsd","Prr13","Alox5ap","Txn1"
"152","Osbpl9","Rpl41","Tceb2","Ncor1","Fam65b","Rpl18a","Ptbp3","Upp1"
"153","Ncf4","Ssh2","Hmgb1","Trp53inp1","Ldha","Arpc5","Slc22a15","Atf4"
"154","Cmip","Zyx","Gpx4","Fndc3b","Gm42418","R3hdm4","Msrb1","Ppp1r15a"
"155","Syk","Srsf2","Ostf1","Sfxn5","Dhrs7","Sub1","Sh2d3c","Picalm"
"156","mt-Co3","Trem1","Bri3","Itga4","Hspa8","Rpl37a","Rab7","Klf6"
"157","Lyn","Dnaja1","Rpl26","Susd6","Gnb2","Cd33","Ccl6","Zeb2"
"158","mt-Co2","Samsn1","Gpx1","Luc7l2","Rpl9","Pygl","Lrrfip1","Egr1"
"159","Txn1","Osbpl9","Atp5e","Ndel1","Syne1","Ccr1","Braf","Tyrobp"
"160","Lilr4b","Gm20388","Clta","Ptbp3","Rpl19","Cotl1","March7","Ccr1"
"161","Skap2","Sdcbp","Taldo1","Rap1b","Myh9","Calm1","Btg2","Nfil3"
"162","Rabgef1","Fbxl5","Fos","Ppp1r12a","mt-Cytb","Smpdl3a","Clk1","Sat1"
"163","Fbxo11","Lcp1","Arhgdib","Plcl2","Fpr2","Ncf2","Ankrd33b","Hk2"
"164","Lrg1","Tiparp","Myl6","Sla","Rhoa","Dhrs7","Pafah1b1","Wsb1"
"165","Lst1","Cytip","Ctsd","Hmgb2","Aldoa","Rpl34","Gda","Irg1"
"166","Actr3","Grina","Laptm5","Nfkbiz","Padi4","Rpl17","Wbp1l","Ddit3"
"167","Chst11","Igf1r","Pla2g7","Rapgef6","Rps19","Plaur","Fbxo11","Dedd2"
"168","Mapk6","Rps27a","Jund","Arg2","Vsir","Ier2","Cd300lf","March7"
"169","Malt1","Cxcr2","Rps6","Slc40a1","Rap1b","Oaz1","Zyx","Zfp36"
"170","Snx20","Gm42418","Calm1","Rnf144a","Rpl34","Gpcpd1","Vps4b","Arg2"
"171","Cd44","Klhl2","Asprv1","Ddx5","Mbd2","Rpl7","Kdm6b","Ptbp3"
"172","Ctnnb1","Cd53","Csf3r","Stk38","Cybb","Atg3","Pnrc1","Stat3"
"173","Coq10b","Ptma","D8Ertd738e","Zyx","Rpl39","App","Sp140","Fus"
"174","Gnb1","Atf4","Cdc42","Il1b","Mxd1","Emb","Ehd1","Cd14"
"175","Ctsb","Hnrnpa2b1","Mdh2","Notch2","Rps11","Mtus1","Top1","Csf1"
"176","Clk1","Ccrl2","mt-Co1","Btg2","1110008F13Rik","Cst3","Trib1","Ddx3x"
"177","Dusp2","Hmox1","B2m","Atp8a1","Cd47","Emilin2","Trem3","Rgcc"
"178","Snx10","Eif5","Rpl36","Actr3","Rps3","Arhgap15","Atp11b","Tnfrsf23"
"179","Arf4","Abtb2","Naca","Sell","Spi1","Rps14","Arpc5","Slc16a3"
"180","Entpd1","Arhgap15","Arpp19","Gm20388","Hmgn2","Sh3bgrl3","Atg2a","Bhlhe40"
"181","Klf2","Fam65b","Ier2","Vim","Cdkn2d","Cdkn2d","Agpat9","Rbm39"
"182","Relb","Rpl18a","Mcl1","Sirpb1a","Dach1","Glipr2","Sub1","Ptp4a1"
"183","Ccr1","Cd24a","Eif5a","March7","Uba52","AB124611","Zfand3","Fos"
"184","Cd300lf","Arpc3","Scand1","Nt5c2","Anxa3","Gpsm3","Mcemp1","Isg15"
"185","Icam1","Srsf3","Arf1","Arih1","Unc119","Ube2d3","Arih2","Sh2d3c"
"186","Hspa5","mt-Co3","H2afz","Lmnb1","Ncf2","Rhoa","Fbxl5","mt-Co2"
"187","Cd274","Anxa1","Gnai2","Ptpn1","Rpl41","Cd300lf","Vmp1","Gsn"
"188","Cfl1","Ccr1","Supt4a","Pacs1","Ube2d3","Slc16a3","Ralgapa1","Tmbim6"
"189","Plac8","Cd300lf","Tsc22d3","Fcho2","Sat1","Sri","Stfa2","Pag1"
"190","Snx18","Jmjd1c","Cnbp","Dmxl2","Gsr","Ubl5","Ier3","Ctsz"
"191","Slc15a3","Lsp1","Alox5ap","Hdac4","Ifitm1","Actr3","Chd7","Chmp4b"
"192","App","Ppp1r15a","Rps26","Ptpn12","Plp2","C5ar1","Cd52","Bri3"
"193","Rpl41","Brd2","mt-Co2","Foxp1","Serpinb1a","Klf2","Tax1bp1","Fndc3a"
"194","Rab20","Entpd1","Fam32a","Hipk1","Npepps","Gnb2","Rhov","Btg2"
"195","Gpcpd1","Nfe2l2","Spi1","Marcks","Ier2","Rps3","Gabarap","Zfp36l1"
"196","Ccl3","Atg2a","Rpl28","Rab8b","Klf2","Cers6","Cdc42","Atp11b"
"197","Grina","Lst1","Rps19","Tyrobp","Gpsm3","Clec4e","Sat1","Fbxl5"
"198","Tra2a","Fam49b","Cd84","Braf","Rpl28","Clec4d","Dusp1","Cd24a"
"199","Gabarap","Pdlim5","Tmed2","Pnpla7","Lamtor4","Cox8a","Stat3","Plekhm2"
"200","Nab1","Arid4b","Cox6a1","Ankrd11","Limd2","Sh3glb1","Mrpl33","Jmjd1c"
"201","Arpc3","Svil","Cd47","Selplg","Ltb4r1","Rps11","Ago2","Gng5"
"202","Rps16","mt-Co2","Emb","Sirpa","Slc2a3","Rps3a1","Tlr4","Nampt"
"203","Pla2g7","Ankrd12","Ost4","Fth1","Mctp1","Rpl23","Mbnl2","Serinc3"
"204","Coro1a","Top1","Shfm1","Il6ra","Plac8","Rplp0","Map1lc3b","Nedd9"
"205","Batf","Rapgef6","Tspo","Jak1","Arpc4","Samhd1","Pxn","Inpp5d"
"206","Fndc3b","Spag9","Cotl1","Pan3","Eno1","Rpl30","Anxa11","Rps9"
"207","Stfa2l1","Sertad1","Cox5b","Plek","Gabarap","Scand1","Clic1","Ier5"
"208","mt-Atp6","Pla2g7","Chmp2a","Gm26740","Cox4i1","Rpl27a","Slc25a3","Polr2a"
"209","Cst3","Ctsd","Rpsa","Nipbl","Rps15a","Slfn2","Myh9","Alcam"
"210","Rpl23","Coro1a","Nedd8","Xpr1","G6pdx","Cap1","Bcl2l11","Tet2"
"211","Saa3","Syk","Slc25a5","Gnaq","Glipr2","Rnf149","Mir142hg","Lgals3"
"212","Zc3hav1","Tbc1d15","Adgre5","Dock11","Tpm3-rs7","Gm8730","Jund","Cmip"
"213","Nfkbid","Rps10","Dazap2","Chst11","Hck","Mbd2","Cnnm2","Alkbh5"
"214","Ddx3x","Rps16","Dynll1","Rock1","Rps13","Steap4","Sepn1","Pnpla7"
"215","Msn","Ptp4a1","Rpl22","Mtmr3","Atp6v1g1","Slc2a1","Rps27a","Agpat9"
"216","Zfand3","Cdc42","Ddx5","Gm26825","Rps3a1","Atp5l","Snap23","Hspa5"
"217","Cd9","Zfp36l1","Cox7a2","Xpo6","Lbr","Chmp4b","Myl6","F10"
"218","Hck","Gda","Atp6v0b","Zfp36l2","Esd","Gadd45a","Ubc","Slfn4"
"219","Emilin2","Pfn1","Gnb2","Emb","Rplp2","Stx11","Skap2","Msrb1"
"220","Prdx5","Pabpc1","Rac1","Pde4b","Rps28","Ptprc","Clec4e","Retnlg"
"221","Arcn1","Ctnnb1","Mir142hg","Wipf1","Fis1","Adam8","Gcnt2","Cdc42"
"222","Cyba","Selplg","Ccrl2","Mef2a","Ckap4","Tkt","Tra2a","Nktr"
"223","Sorl1","Irf1","Srp14","Lpcat2","Ppp1ca","Lst1","Qsox1","Slc3a2"
"224","Sqstm1","Gabarap","Ndufb9","Snap23","Rpl37","Rps23","C5ar1","Bnip3l"
"225","Rhoa","C5ar1","Sh3glb1","Hectd1","Rpl17","Rdh12","Fndc3b","Lmnb1"
"226","Dock2","Rpl39","Son","Atp6v0a1","Lsp1","Hspa8","Ube2d3","Ascc3"
"227","Map1lc3b","Qsox1","Sf3b6","Arid4b","Lyn","Mir142hg","Hp","Lyn"
"228","Arih2","Kdm7a","Rpl27","Il13ra1","Rpl35a","Rpl35a","4932438A13Rik","Tgoln1"
"229","Zc3h12a","Pip5k1b","Arpc5","Hmha1","Clec4a2","Ypel3","Gab2","Ets2"
"230","Chd2","Wfdc21","Chil1","Kmt2e","Atp5f1","Lyn","Cyp4f18","Antxr2"
"231","Kpna4","Usp32","Hist1h4i","H2-D1","Actr2","Lilr4b","Slc15a3","Atp6v0d1"
"232","Lyst","Calm1","Sec62","Ptpre","Rplp1","Ube2b","Capza1","Tlr4"
"233","Ctsz","Atp6v1g1","Gcnt2","Ncoa1","Fam49b","Hck","Noct","Stfa2l1"
"234","Tmbim6","Nufip2","Cox5a","Klf13","Rps8","Ube2h","Coq10b","Snap23"
"235","Arhgap26","Rpl9","Rbx1","Cux1","Lims1","Sorl1","Pitpna","Calm2"
"236","Ifnar2","mt-Atp6","Serp1","Ier2","Trem3","Pfdn5","Itpkb","Ranbp2"
"237","Vasp","Cst3","Atp6v1g1","Antxr2","Lrrk2","B2m","Slc11a1","Efhd2"
"238","Txnrd1","Jak1","Atp5h","Itgal","Sh3glb1","Tarm1","Emd","Optn"
"239","Cdc42","Atf3","Socs3","Dock8","Junb","Svil","Fmnl1","Selk"
"240","Csf1","Sf3b1","Serinc3","Nlrp12","Camp","Snap23","Dock2","Zfand3"
"241","Samhd1","Rpl17","Hebp1","Mctp1","Flot2","Fam32a","Cfl1","Lilr4b"
"242","Steap4","Emilin2","Ypel3","Dnm2","Ddx5","Rac1","2810474O19Rik","Samhd1"
"243","Rbms1","Gm5150","Rbm39","Alox5ap","Pira2","Gm42418","Dusp5","Morf4l1"
"244","Il1f9","Fgl2","Syf2","Jun","Rps5","Ptpn1","Dgat1","Rplp2"
"245","Fosl2","Tspan13","Pglyrp1","Ddi2","Slfn2","Rps13","Pla2g7","Arpc2"
"246","Trps1","Rhoa","Ifngr1","Rassf5","Rps23","Dazap2","Hpcal1","Ctsl"
"247","Hmgb2","Mapkapk2","Tmem14c","Iqgap2","Osm","Supt4a","Cd33","Cox8a"
"248","Ostf1","Sik3","Lrg1","Tbl1xr1","Timp2","Arhgap24","Anxa1","Rpl41"
"249","Gmfg","Trib1","Dhrs7","Fnbp1","Tln1","Slc2a3","Rps29","Rab20"
"250","Gpbp1","Emb","Hcst","Klf3","Ltf","Uba52","Cdkn1a","1700017B05Rik"
"251","Serinc3","Errfi1","Sec61b","Fam129a","Rps14","Cox4i1","Cxcr2","Prdx6"
"252","Rpl18a","App","Hnrnpk","Asap1","Samhd1","Rap1b","Ell2","Diaph1"
"253","Tmcc1","Antxr2","Nudt4","Rhob","Itgb2","Capzb","Hck","Sgms2"
"254","Stat3","Ggps1","Man2b1","1700112E06Rik","Capza1","Arf5","Ptp4a1","Itgam"
"255","Etf1","Sptan1","Rpl5","Cytip","Tmcc1","Ier5","Sntb2","Rbm25"
"256","Lrrc25","Oser1","Atp5f1","Zswim6","Dbnl","H2afj","Ell","Fndc3b"
"257","Cd53","H2-K1","Uba52","H3f3a","Fcgr3","Lilrb4a","Dhrs9","Vamp4"
"258","Rsrp1","Rab7","Cytip","Fry","mt-Nd4","Cytip","Aff4","Arih2"
"259","Cd84","Ube2d3","Cox7a2l","Nadk","Rpl38","Cox7a2l","Rps27","Ube2d3"
"260","Socs3","Tob1","Ctsa","Cebpb","Ptprc","Osbpl9","Lcn2","Clk1"
"261","Alox5ap","Braf","Ube2b","Actg1","Ccnd3","Rps25","Whsc1l1","Atp6v1c1"
"262","Bcl6","Ptpn12","Stk17b","Cd244","Gda","Fam49b","Nrd1","Ninj1"
"263","Il10ra","Tnfaip2","Morf4l1","Arid4a","Rpl32","Marcks","Rab8b","Celf2"
"264","Fgl2","Atg3","Rpl14","Trim30b","Psap","Ier3","Cdk17","Iqsec1"
"265","Tax1bp1","Whsc1l1","Calm2","Rbm39","Myo1f","Dbi","Kras","Abca1"
"266","Srsf5","Dnajb9","Ccr1","Ltb","Fbxl5","Upp1","Themis2","Cd47"
"267","Smox","Cdkn2d","Tmem50a","Gtdc1","Rpl13","Cpd","Ddx3x","Arih1"
"268","Dazap2","Atp6v0d1","Cxcr2","Crebrf","Rps25","Cd53","Stk40","Gna13"
"269","Plaur","Herc4","Ucp2","Mapk14","Lilrb4a","Calm2","Arih1","Elf2"
