"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6","SC78_1_factor7","SC78_1_factor8","SC78_1_factor9"
"25","Ythdf3","Tyrobp","Ptprc","Plaur","S100a6","Chst11","Neat1","mt-Atp6","Pim1"
"26","Map3k5","Spag9","Mcl1","H2-D1","Mxd1","Sgms2","G0s2","Tpd52","Ptgs2"
"27","Tnrc6b","Ifrd1","Klf2","Btg1","Nlrp3","S100a8","S100a6","S100a8","Rnf149"
"28","Lyn","Fau","Btg2","Cd44","Junb","S100a11","S100a11","mt-Co3","Spag9"
"29","Slc7a11","Pim1","Kpna4","Fxyd5","Plek","Junb","mt-Nd5","Ankrd33b","Hdc"
"30","Xylt1","S100a8","Ubb","Il1r2","Btg1","Msrb1","Mir142hg","Dock2","Nfkb1"
"31","Srgn","H3f3a","Rps9","Clec4d","Eif1","Lmnb1","Fam49b","Plek","Mxd1"
"32","Il1b","Irg1","Ncf2","Antxr2","S100a11","Hdc","Cmip","Sorl1","S100a8"
"33","Fam107b","S100a11","Tyrobp","Mxd1","Pde4b","Plaur","Dennd4a","Atp2b1","Cd44"
"34","Cd44","Cstb","Btg1","Entpd1","Pim1","Pim1","Il1b","Actg1","Clec4e"
"35","S100a6","H2-D1","Eif1","Sgms2","Irak2","Alcam","Ankrd44","Lilrb4a","Btg1"
"36","Mgst1","Rps9","S100a6","Cd9","Entpd1","Antxr2","Dock2","Ndel1","Ifrd1"
"37","Pkm","Ubb","Stk17b","Hdc","Dusp16","Neat1","Litaf","Litaf","Kdm6b"
"38","Fyb","Il1r2","H2-D1","Trem1","Kdm6b","Ndel1","Ptprc","Plaur","Eif1"
"39","Mef2a","Ifitm2","Taldo1","Plek","Chst11","Ifitm2","Hdc","Cd9","Irak2"
"40","Fam49b","Lst1","Jund","Litaf","Rel","Litaf","Arhgap15","Lmnb1","Nlrp3"
"41","Picalm","Mcl1","Lcp1","Ccl6","Rnf149","Slc16a3","Plek","Pik3ap1","Dennd4a"
"42","Mmp9","Btg1","Neat1","Fau","Cd44","Sik3","Igf1r","mt-Co1","Clec4d"
"43","Hdc","Cd9","G0s2","Taldo1","Ftl1","Fxyd5","Arid4a","Ptgs2","Pde4b"
"44","Actr2","Btg2","Gpcpd1","Slc7a11","Dusp1","Mcl1","Mctp1","Zeb2","Mcl1"
"45","App","Nlrp3","H3f3a","Irg1","Mcl1","Clec4d","Cdk2ap2","Picalm","Ftl1"
"46","Gnaq","Serf2","Sorl1","Pim1","Hdc","H2-D1","Clec4e","Samsn1","Csf3r"
"47","Lcp1","Dennd4a","Fxyd5","Ifitm2","Birc3","Ets2","Cxcl2","Lyn","Tnfaip2"
"48","Jak1","Msrb1","Cxcr2","Txn1","Rab8b","Cmip","H2-D1","Dennd4a","Ptafr"
"49","Actg1","Hdc","Tpd52","Tpt1","Lcp1","Tpd52","Cd14","Ptprc","Arg2"
"50","Laptm5","Cst3","Tmcc1","Lcp1","Cd9","Ankrd33b","Hp","Braf","Ifitm2"
"51","Wdr26","Litaf","Atf3","Btg2","Clec4e","Mxd1","Laptm5","Pde7b","Litaf"
"52","Med13l","Pfn1","Litaf","Fcer1g","Tyrobp","Mir142hg","Cd9","Cxcl2","Lmnb1"
"53","Jmjd1c","Cd52","Lsp1","Nedd9","Ifitm2","Ptprc","Tyrobp","Kpna4","Msrb1"
"54","Map2k4","Myl12b","Hdc","Ndel1","Ehd1","Fau","Sp100","Osbpl9","Slc7a11"
"55","Arhgap26","Lmnb1","Lyst","Grina","Marcks","Btg2","Gab2","Dusp1","Cd9"
"56","Sik3","Cox8a","Lmnb1","Cd14","Ifrd1","Csf3r","Lcp1","Mxd1","Mapkapk2"
"57","Btbd9","Clec4e","Txn1","Csf3r","Msrb1","Samsn1","Lilrb4a","Junb","Btg2"
"58","Notch2","Rpl41","Zfp36l2","Chst11","Dennd4a","Ccr1","Spag9","Gcnt2","Neat1"
"59","Litaf","Kdm6b","Rnf149","Hp","H2-D1","Fcer1g","Gnb1","Cyth1","H2-D1"
"60","Syk","Ptafr","Fcer1g","Stx11","Gadd45b","H3f3a","Ptprj","Cyp4f18","Tnfaip3"
"61","Ppp3ca","Cdc42","Arg2","Tpd52","Clec4d","Cxcl2","Entpd1","Rabgef1","Ptprc"
"62","Fam134b","Ddx5","Gcnt2","Rps9","Lmnb1","Sorl1","Msrb1","Btg1","Tyrobp"
"63","Sgms2","Pde4b","Retnlg","Ets2","H3f3a","Btbd9","Actr3","Gab2","Ptprj"
"64","Rab8b","Il1rn","Ccrl2","Ccr1","Ptprc","Atp2b1","Runx1","Pbx1","Samsn1"
"65","Clk1","Alox5ap","Iqgap1","Spag9","Fgr","Kpna4","Irak2","Slc16a3","Il1r2"
"66","Ftl1","Zeb2","Fam65b","Mcl1","Samsn1","Rps9","App","Rnf149","Ets2"
"67","Baz2b","Arpc1b","H3f3b","Xylt1","Plaur","Isg15","Rasa3","Stx11","Lcp1"
"68","Atp2b1","Ankrd33b","Ptgs2","Rnf149","Actr3","Wnk1","Nr4a1","Ptprj","Entpd1"
"69","Cytip","Coro1a","Fgl2","Ddx5","Arhgap15","Tpt1","Iqgap1","Ralgapa1","Marcks"
"70","Trappc9","Rpl18a","Coro1a","Ptprc","Slc7a11","Emilin2","Fau","App","Zfp36"
"71","Grina","Ptgs2","Anxa2","Emilin2","Tnfaip3","Jund","Chst11","mt-Co2","Tpd52"
"72","Tyrobp","Marcksl1","Slc7a11","Lmnb1","Nedd9","Lst1","Ppp3ca","Dusp16","Rab8b"
"73","Igf1r","Csf3r","Xylt1","Arpc3","Antxr2","Arpc3","Pim1","Igf1r","Pik3ap1"
"74","Ccl6","Irak2","Plek","Ncf2","Arg2","Dennd4a","H3f3b","Baz2b","Dusp16"
"75","Hp","Rps27a","Klf6","Itm2b","Csf3r","Ncf2","Coro1a","Nfkbiz","H3f3b"
"76","S100a11","Fxyd5","Ddx5","Alcam","Ets2","Ccnl1","Abi1","Ago2","Sgms2"
"77","Fus","Rps16","Ifitm2","Lsp1","Litaf","Ddx5","Xylt1","Tpm4","Abtb2"
"78","Sorl1","Ets2","Cd44","Cmip","Spag9","Tgm2","Ankrd33b","Btg2","S100a11"
"79","Hnrnpk","Rnf149","Marcks","Lst1","Ddx5","S100a6","Il1r2","Ctnnb1","B2m"
"80","Mctp1","B2m","Pim1","Adam8","Jund","Rabgef1","Cyth1","Eml1","Chst11"
"81","Runx1","Fcer1g","Skap2","Pfn1","Tnfaip2","Plk3","Son","Fam134b","Lilrb4a"
"82","Cdc42","Ier3","Igf1r","Samsn1","H3f3b","Trib1","Pik3ap1","Lyst","Antxr2"
"83","Msrb1","Plaur","Ndel1","Arpc5","Neat1","Vps37b","Slfn2","Ets2","C5ar1"
"84","Gcnt2","Gabarap","Snap23","Osm","Erbb2ip","Lilrb4a","Btg2","Gm42418","Ddx5"
"85","Ptprc","Tnfaip3","Hp","Plk3","Ier5","Cd53","H3f3a","Nup98","Atp2b1"
"86","Diaph1","Abtb2","Cd9","Osbpl9","Lilrb4a","Braf","Itgb2","Trib1","Tnfrsf1b"
"87","Fxyd5","Ier5","Hmgb2","Mgst1","Vasp","Rnf149","Tpt1","Lilr4b","H3f3a"
"88","Cd33","Clec4d","Adgre5","Gnai2","Ptafr","Irg1","Rps27a","Sp140","Ncf1"
"89","Psap","Jdp2","B2m","Actr3","Gsap","Rab7","Ddx5","Smox","Nr4a1"
"90","Gpcpd1","Tnfaip2","Ccl6","Lyz2","Btg2","Kdm6b","Basp1","Irak2","Ehd1"
"91","Gapdh","Rpl9","Fam49b","Neat1","Fcer1g","Fgl2","Ssh2","Ccr1","Snap23"
"92","Dhrs9","Jund","Sh2d3c","Fos","Baz2b","Lyn","Ube2d3","Cd53","Ier5"
"93","Dennd4a","Arpc3","Stat3","Gabarap","Cfl1","Tnfaip2","Gng5","Osm","Adgre5"
"94","Gda","Ccr1","Ltb","Cyp4f18","Zfand3","Etf1","Osbpl9","Mir142hg","Ier3"
"95","Phf20l1","Rab7","Svil","Jund","Bcl2a1b","Sdcbp","Samsn1","Mirt1","Dusp2"
"96","Wbp1l","Ccl3","Entpd1","Sik3","C5ar1","Fam134b","Tnrc6b","Mctp1","2810474O19Rik"
"97","Rab2a","Hcar2","Itgal","Mrpl33","Xylt1","Slc7a11","Rps9","Vps37b","Slc16a3"
"98","Ncf2","Mapkapk2","Samhd1","Anxa2","Snap23","Trem1","Zeb2","Emilin2","Erbb2ip"
"99","Coro1a","Sik3","Pbx1","Lilrb4a","Fbxo11","Ctnnb1","Junb","Rap1gap2","Fgl2"
"100","Mcl1","Cd44","Pla2g7","Picalm","Fxyd5","Ell2","Rab21","Myo1d","Fxyd5"
"101","Kdm7a","Slc16a3","Etf1","Mcemp1","Trem1","Mrpl33","Slc16a3","Rbms1","Lst1"
"102","Pag1","Tnfrsf1b","Arhgap15","Alox5ap","Nadk","Pik3ap1","Mef2a","Ppp1r3b","Trem1"
"103","Hectd1","Atp5l","Cmip","Coro1a","Rap1b","Inpp5d","Cul3","Fosl2","Mir142hg"
"104","Plaur","Sub1","Fcgr3","Wfdc21","Mapkapk2","Tpm4","Tpd52","Rab7","Fgr"
"105","Camk1d","Nfkbiz","Gm42418","Myl12b","Btbd9","Gab2","Arih1","Chd2","Fcer1g"
"106","Clint1","Calm1","Pglyrp1","D8Ertd738e","N4bp1","Pnrc1","Nedd9","mt-Cytb","Rabgef1"
"107","Rbm39","Bcl2a1b","Nr4a1","Ctnnb1","Ptgs2","Myo1d","Zhx2","Ccnl1","Actr3"
"108","Plek","Atp5e","Itm2b","Rac2","Nfkbie","Adgre5","Ifngr1","Suco","Vasp"
"109","Arid4a","Mxd1","Sat1","Anxa1","Trib1","Lcp1","Antxr2","Rab8b","Rps9"
"110","Tpd52","Tpd52","Cd84","Mir142hg","Arpc3","Baz2b","Lamp2","Arih2","Nfe2l2"
"111","Rnf149","Vasp","Celf2","Sorl1","Rps9","Cyth1","Luc7l2","Csf3r","Ankrd33b"
"112","Itsn2","Sh3bgrl3","Ddx6","Cd52","B2m","Osbpl9","Ddx3x","Slc15a3","Jund"
"113","Gm42418","Cyba","Samsn1","Fosl2","Pfn1","Sp140","Nptn","Zcchc6","Icam1"
"114","Tsc22d3","Pfdn5","Zyx","Por","Il1r2","March7","Dock8","Tlr4","Tgm2"
"115","Ep300","H2-K1","Selplg","Iqgap1","2810474O19Rik","Ptafr","1700112E06Rik","Pim1","Kpna4"
"116","Stk17b","Gng5","Anxa1","Myl6","Lilr4b","Tiparp","Pfn1","Plk3","Ccnl1"
"117","Rap1gap2","Zc3hav1","Lyn","Isg15","Lsp1","Fosl2","Sorl1","Fam65b","Ell2"
"118","Csf3r","Rap1b","Gm5150","Etf1","Sod2","Hectd1","Dstn","Kdm6b","Slc15a3"
"119","Lilrb4a","Ier2","Osbpl9","Tpm4","Rac2","Picalm","Notch2","Actb","Cmip"
"120","Skap2","Samsn1","Rap1b","Fmnl1","Sorl1","Ptgs2","Dusp1","Egr1","Coq10b"
"121","Chd7","Slc7a11","Pfn1","Ptgs2","Dusp2","Slc15a3","Ndel1","March7","Nr4a3"
"122","Gfod1","Cfl1","Cxcr4","Arpc1b","Tpd52","Taldo1","Eif1","Pde4b","Rel"
"123","Rassf3","D8Ertd738e","Tbc1d15","Gcnt2","Tnfrsf1b","Selk","Samhd1","Fxyd5","Cxcr4"
"124","Ube2h","Trem1","Tgfbi","Coq10b","Ier3","Anxa11","Dock11","Ell2","Ninj1"
"125","Lmnb1","Nr4a3","Tnfaip2","Rab7","Abtb2","B2m","Mta3","Inpp5d","Hcar2"
"126","Pfn1","Arg2","Map3k5","Trib1","Nr4a1","Arpc2","Lyn","Il1rap","Lyn"
"127","Ifitm2","Ehd1","Gmfg","Arg2","Cmip","Pla2g7","Gpcpd1","Ncf2","Ddx3x"
"128","Etv6","Map1lc3b","Alox5ap","Lcn2","Ankrd33b","Nudt4","Irg1","Elmo1","Sorl1"
"129","Asap1","Coq10b","Hcar2","Rap1b","Spi1","Coq10b","Picalm","Map2k4","Picalm"
"130","Cdk13","Oaz1","Gadd45a","Nfkbiz","Nab1","Egr1","Fyb","Actr3","Bcl2a1b"
"131","Cyba","Itm2b","Gadd45b","Clec4e","Ndel1","Dusp5","Mxd1","Wnk1","S100a6"
"132","Ssh2","Rac2","Mbnl2","Ankrd33b","Fau","Il1rn","Mrpl33","Trps1","Hspa5"
"133","H2-D1","Antxr2","Rps27","Cotl1","Arpc2","Gcnt2","Nrd1","Eif1","Btbd9"
"134","Usp32","Arhgdib","Trem1","Lilr4b","Tax1bp1","Snap23","Rac2","Tiparp","Arih2"
"135","Pglyrp1","Gm42418","March7","Arhgdib","Emilin2","Txn1","Rap1gap2","Fem1c","Sema4d"
"136","Pbx1","Tgm2","Ccr1","Arpc2","Mrpl33","Arg2","C5ar1","Vmp1","Rap1b"
"137","Ndel1","Arpc2","Atg3","Kdm6b","Slc16a3","Fem1c","Prex1","Tnfrsf1b","Emilin2"
"138","Kctd12","Txn1","Gnai2","Gm5483","Picalm","Tnfrsf1b","Vps37b","Mcl1","Xylt1"
"139","Oaz1","Csrnp1","Pag1","Map1lc3b","Coro1a","Vmp1","Cd53","Arg2","Ndel1"
"140","Ralgapa1","Btbd9","Spi1","Cap1","Taldo1","Nlrp3","Med13l","Stat3","Lilr4b"
"141","Hnrnpc","Ncf1","Antxr2","Cyba","Pbx1","Ago2","Gnaq","Usp32","Pnrc1"
"142","Ankrd44","Cxcr4","Grina","Fem1c","Ier2","Smchd1","Kpna4","Fbxo11","H2-K1"
"143","Gsk3b","Taldo1","Phf21a","Nudt4","Txn1","C5ar1","Mcl1","Abtb2","Ncf4"
"144","Sntb2","S100a6","Rps29","Sp140","Ninj1","Cyp4f18","Rap1b","Anxa11","1700112E06Rik"
"145","Ddx3x","Mir142hg","Ets2","Baz2b","Mir142hg","Ptprj","Camk1d","Fth1","Nadk"
"146","G0s2","Mrpl33","Gab2","Glrx","Rab11fip1","Lilr4b","Trem1","Camk1d","Zc3h12a"
"147","Cebpb","Hspa5","Ier5","Zfp36","Cd52","Rps27","Itm2b","Dgat1","Gcnt2"
"148","Cd9","Osbpl9","Nfkbiz","Ell2","Dock2","Ier3","Atp2b1","Cdk17","Txn1"
"149","Mbd2","Emd","Gabarap","Gmfg","Lyn","Arih2","Txn1","Ddx3x","Sik3"
"150","Pitpnc1","Neat1","Clec4d","Ier3","Iqgap1","Osm","Dock5","Aff4","Fam134b"
"151","Pafah1b1","Adam17","Fgr","Dennd4a","Traf3","Tlr4","Pbx1","Dhrs9","Tgif1"
"152","Ankrd33b","Fosl2","Coq10b","Hmgb2","Gm42418","Alox5ap","Rps16","Stk17b","Fau"
"153","Dusp1","Calm2","Ssh2","Csrnp1","Atp2b1","Lamp2","Ctnnb1","Snx18","Gpr132"
"154","Fbxl5","Cd53","Psap","Notch2","Adgre5","Srsf5","Chd4","Isy1","Vmp1"
"155","Mxd1","Chst11","Rps27a","Klra2","Pnrc1","Cd52","Mycbp2","Plekhm2","Trib1"
"156","Dock11","Fbxo11","Mapkapk2","Snap23","Slfn2","Igf1r","Slc7a11","Sepn1","Ncf2"
"157","Atp8a1","Anxa2","Il1rap","App","Gpbp1","Gabarap","Lmnb1","Irg1","Ifitm1"
"158","Tgfbi","Rpl23","Dock2","Zyx","Jak2","Pfn1","Csf3r","Cers6","Casp4"
"159","Spag9","Gpx1","Ccnl1","Sepn1","Ccl3","Csrnp1","H2afz","Lcp1","Cd274"
"160","Son","Tomm7","Arpc1b","Ddx6","Igf1r","Sepn1","Rapgef6","Mapkapk2","Ppp1r15a"
"161","Anxa1","Tpm3-rs7","Usp32","Kpna4","Snx18","Rap1b","Lst1","Bcl2l11","Malt1"
"162","Zeb2","Ctsz","Sell","Gng5","Jak1","Sp100","Tax1bp1","Tmsb4x","Rab20"
"163","Pitpna","Rabgef1","Nup98","Cyth1","Sema4d","Actr3","Celf2","Sdcbp","Rab11fip1"
"164","Anxa11","Rpl37","Cytip","Rdh12","Hck","Gm42418","Fcer1g","Top1","Ddx6"
"165","Lamp2","Basp1","Myl12b","C5ar1","Gpcpd1","Ddx6","Kdm6b","Ddx6","Gabarap"
"166","Zfand3","Isg15","Osm","Cd53","Nfe2l2","Iqgap1","Itpkb","Basp1","Skil"
"167","Whsc1l1","Egr1","Arpc2","Il1rn","Zfp36","Grina","Stk17b","Nlrp3","Alcam"
"168","Crebbp","Myl6","Myo1f","Pla2g7","Cd300a","D8Ertd738e","Zcchc6","Mbnl2","Hck"
"169","Msn","Zfp36","Ppt1","Cdc42","Lrrc25","Clec4e","Pip4k2a","Tnrc6b","Ccr1"
"170","Riok3","Atp2b1","Cap1","Pkm","Ccl6","Jdp2","Serf2","Trem1","Pla2g7"
"171","Rap1b","Ctsd","Sfxn5","Pnrc1","Ncf1","Irak2","Arpc3","Zswim6","Nedd9"
"172","Rsrp1","Sec61b","Il17ra","March7","Bcl3","Smox","Rock1","Por","Fosl2"
"173","Fnip1","Rab8b","Pip5k1b","Ctsd","Hspa5","Mbnl2","Baz2b","Fndc3b","Iqgap1"
"174","Arg2","Nfkb1","Zfand5","Smox","Irak3","Cdkn1a","Ets2","Ogt","Gm42418"
"175","Hipk1","C5ar1","Chst11","Pglyrp1","Grina","Itm2b","Lcn2","Fam107b","Taldo1"
"176","Gm26740","Entpd1","Ptafr","H2-K1","Tlr2","Zcchc6","Ubl3","2810474O19Rik","Neurl3"
"177","Arpc2","Rpl37a","Lilrb4a","Ier2","Ncf4","Kctd12","Gpx1","Crem","Plaur"
"178","Myh9","Emilin2","Fyb","Ddx3x","Lst1","Ddx3x","Anxa2","Npepps","Slfn2"
"179","Cap1","Ptp4a1","Cdc42","Diaph1","Gcnt2","Cap1","Atp8b4","Hif1a","Pfn1"
"180","Cass4","Cotl1","Elmo1","Sdcbp","Ell2","Serinc3","Prkcb","Cd14","Map3k5"
"181","Ppp1ca","Iqgap1","Themis2","Mapkapk2","Tank","Il1rap","Csf1","4932438A13Rik","Rab7"
"182","H3f3a","Rhoa","Kras","Gab2","Mcemp1","Slc11a1","Zfand3","Gda","Cap1"
"183","Svil","Gnai2","Emilin2","Vasp","Ctnnb1","Aff4","Ndfip1","Sp100","Ntng2"
"184","Nptn","Birc3","Mctp1","Ostf1","Zc3hav1","Mapkapk2","Rhoa","Ddx5","Ccl3"
"185","Btg1","Arf5","Map1lc3b","Ier5","Ctsz","AW011738","Tnfaip2","Cd300lf","Snx20"
"186","Ankrd11","Arhgap15","Ipcef1","Rabgef1","Lyst","Ctsd","Arid4b","Msra","Trem3"
"187","Phf21a","Pla2g7","Ptbp3","Adgre5","Cyth1","Arhgap15","Cytip","Pum2","Alox5ap"
"188","Susd6","Gm43661","Rab8b","Serf2","Sik3","Nfkbiz","Jund","Runx1","Zfand3"
"189","Cd300lf","Ptprc","Trps1","Itgb2","Gabarap","Lsp1","Cacul1","Tmcc1","Lcp2"
"190","Spi1","Rabac1","Amica1","Stk17b","Cap1","Ier5","Ddx17","Tra2a","Fas"
"191","Tmcc1","Rpl27a","Mmp9","Ptprj","Slc15a3","Ier2","Ambra1","Fnip1","Fbxo11"
"192","Ptpn1","Card19","Cyba","Stfa2l1","Cd53","Gng5","Trib1","Cd80","Ctnnb1"
"193","Iqgap1","Arf4","Fbxl5","Lyn","Osbpl9","Cxcr4","Srsf5","Notch2","Irak3"
"194","Cd14","Eif5","H2-K1","Mmp9","Ncf2","Arpc1b","Mirt1","H2-D1","H2-Q7"
"195","Fth1","Neurl3","Dhrs7","Sell","H2-K1","Ppp1r2","Chd7","Fbxl5","Fem1c"
"196","Atrn","Ddx3x","Tspan13","Suco","Tpt1","Ubc","Hcls1","Lamp2","Spi1"
"197","Adam8","Ell2","Ppp1r2","Dhrs9","Rabgef1","Coro1a","Lrrfip2","S100a6","Igf1r"
"198","Rock1","Ost4","Tmem164","Selk","Sp140","Ptk2b","Ankhd1","Diaph1","Cdk2ap2"
"199","Fry","Cd300a","Bcl6","Zcchc6","Chd2","Selplg","Myl12b","Tgoln1","Lsp1"
"200","Cdk17","Picalm","Suco","Btbd9","Gnai2","Zfp36","Sqstm1","Gm43661","Mirt1"
